NodeID,RealTimeNodeID,NodeName,NodeType,NodeDist,NodeWeight,DownstreamNodeID,RealTimeDownstreamNodeID,Longitude,Latitude,DataSource
06752000,CLAFTCCO,Cache la Poudre River at the Mouth of the Canyon Gage,StreamGage,0.0,1,0300908,0300908,-105.224426,40.664425,DWR
0300908,0300908,Greeley Filters Pipeline,Diversion,0.4,1,ES1904,HSCCLPCO,-105.216766,40.663673,DWR
ES1904,HSCCLPCO,Hansen Supply Canal,Return,1.01001,1,0300910,PVLCANCO,-105.209715,40.658867,NCWCD
0300910,PVLCANCO,Pleasant Valley Lake Canal,Diversion,1.29,1,0300911,LACDITCO,-105.204063,40.659505,NWSDR
0300911,LACDITCO,Larimer County Ditch,Diversion,2.38,1,0300912,JAKDITCO,-105.185364,40.656563,NWSDR
0300912,JAKDITCO,Dry Creek Ditch (aka Jackson),Diversion,4.46,1,0300913,NEWMERCO,-105.167816,40.630863,NWSDR
0300913,NEWMERCO,New Mercer Ditch,Diversion,5.70001,1,0300914,LARNO2CO,-105.151391,40.625686,DWR
0300914,LARNO2CO,Larimer County #2 Ditch,Diversion,5.70002,1,0300915,LTCDITCO,-105.151356,40.625749,DWR
0300915,LTCDITCO,Cache la Poudre Ditch,Diversion,5.70003,1,0301029,TAGDITCO,-105.151541,40.626191,DWR
0301029,TAGDITCO,Taylor Gill Ditch,Diversion,5.70004,1,0303780,0303780,-105.146718,40.629791,NWSDR
0303780,0303780,Claymore Lake Outlet,Return,5.74,1,0300918,ARTCANCO,-105.153684,40.614719,DWR
0300918,ARTCANCO,Fort Collins Irrigation Canal,Diversion,7.99,1,0300919,LAWIRRCO,-105.112905,40.611523,NWSDR
0300919,LAWIRRCO,Larimer and Weld Irrigation Canal,Diversion,8.33,1,0300922,0300922,-105.106534,40.612196,DWR
0300922,0300922,Lake Canal Ditch,Diversion,10.32,1,0300923,0300923,-105.078773,40.597984,DWR
0300923,0300923,John G Coy Ditch,Diversion,10.62,1,06752260,06752260,-105.075326,40.595168,DWR
06752260,06752260,Cache la Poudre River at Fort Collins Gage,StreamGage,11.46,1,0303775,0303775,-105.069222,40.588083,USGS
0303775,0303775,Timnath Inlet (aka Cache la Poudre Reservoir Inlet) ,Diversion,13.08,1,0300925,0300925,-104.959845,40.549049,DWR
0300925,0300925,Chaffee  Ditch,Diversion,13.13,1,0303743,0303743,-105.047359,40.576859,DWR
0303743,0303743,Lindenmeir Lake,Return,13.65,1,0300926,0300926,-105.05083,40.610306,DWR
0300926,0300926,Boxelder Ditch,Diversion,15.7,1,NW3031,NW3031,-105.023742,40.559982,DWR
NW3031,NW3031,Fossil Creek Inlet,Diversion,15.76,1,06752280,06752280,,,
06752280,06752280,Cache la Poudre River above Boxelder Creek Gage,StreamGage,16.55,1,NW3034,NW3034,-105.011365,40.551927,USGS
NW3034,NW3034,Boxelder Ditch Return,Return,17.46,1,0303774,FOSOUTCO,,,
0303774,FOSOUTCO,Fossil Creek Reservoir,Return,22.74,1,0300929,CLAIRRCO,-104.994881,40.494858,DWR
0300929,CLAIRRCO,New Cache la Poudre Co. Ditch,Diversion,23.22,1,CLARIVCO,CLARIVCO,-104.966836,40.501754,DWR
CLARIVCO,CLARIVCO,Cache la Poudre River below New Cache Gage,StreamGage,23.27,1,0303377,0303377,-104.968595,40.501088,DWR
0303377,0303377,La Poudre Reservoir,Diversion,25.87,1,0300930,WHITNYCO,-104.933547,40.473974,DWR
0300930,WHITNYCO,Whitney Irrigation Ditch,Diversion,27.17,1,0300931,BHEATNCO,-104.935237,40.4712,NWSDR
0300931,BHEATNCO,BH Eaton Ditch,Diversion,27.3,1,0302300,0302300,-104.934294,40.469578,NWSDR
0302300,0302300,Windsor WWTF,Return,39.24,1,0302316,0302316,,,
0302316,0302316,Kodak  Outfall,Return,35.45,1,0300932,JONESDCO,,,
0300932,JONESDCO,William Jones Ditch,Diversion,36.35,1,0302901,0302901,-104.848124,40.44247,NCSDR
0302901,0302901,Jones Ditch Central Aug Return,Return,38.06,1,0303803,0303803,,,
0303803,0303803,Siebring Reservoir ,Return,39.77,1,0302905,0302905,-104.819458,40.445791,DWR
0302905,0302905,Whitney East Return,Return,41.48,1,0300934,CANAL3CO,,,
0300934,CANAL3CO,Canal 3 Ditch,Diversion,41.75,1,0302320,0302320,-104.799187,40.443116,DWR
0302320,0302320,F Street Return,Return,44.19,1,0300935,0300935,,,
0300935,0300935,Boyd Freeman Ditch,Diversion,45.19,1,0303772,0303772,-104.764646,40.440798,DWR
0303772,0303772,Seeley Lake Return,Return,49.13,1,0302319,0302319,-104.735773,40.466772,DWR
0302319,0302319,Graham Seep/Ditch,Return,50.33,1,0302318,0302318,,,
0302318,0302318,23rd Ave Return,Return,50.76,1,0300503,0300503,,,
0300503,0300503,Gore Lateral,Diversion,51.23,1,CLAWASCO,CLAWASCO,,,DWR
CLAWASCO,CLAWASCO,Cache la Poudre River at Greeley Wastewater Plant Gage,StreamGage,50.87,1,GREWASCO,GREWASCO,-104.677366,40.423088,DWR
GREWASCO,GREWASCO,Greeley WWTF,Return,50.99,1,0300937,OGIDITCO,,,DWR
0300937,OGIDITCO,Ogilvy Ditch,Diversion,51.49,1,NW3049,NW3049,-104.670169,40.422549,NWSDR
NW3049,NW3049,No. 3 Waste,Return,53,1,06752500,CLAGRECO,,,
06752500,CLAGRECO,Cache la Poudre River near Greeley Gage,StreamGage,53.27,1,,,-104.639961,40.417759,DWR
